year_week,invoice_count,total_quantity,total_revenue,unique_skus,unique_customers,regions_active,data_completeness,prices_captured,price_coverage
2024-W03,32,47737.0,13673509.3500008,223,29,1,minimal,340,1062.5
2024-W04,33,47198.0,12766172.01,234,31,1,minimal,423,1281.8
2024-W05,16,20690.0,5707435.5,110,15,1,minimal,132,825.0
2025-W01,121,189870.0,49801705.8600008,326,1,3,minimal,1357,1121.5
2025-W02,393,824544.0,203986636.9999995,427,271,4,complete,6656,1693.6
2025-W03,565,1244722.0,280505134.0400008,574,329,4,complete,11111,1966.5
2025-W04,700,1572259.0,364564391.4499995,554,384,4,complete,11769,1681.3
2025-W05,785,1471610.0,317410953.0,614,399,5,complete,11386,1450.4
2025-W06,754,789344.0,163423069.87,575,280,3,partial,3477,461.1
2025-W07,778,569963.0,110668884.34999974,595,275,3,partial,3686,473.8
2025-W08,924,747867.0,168002049.89999974,569,334,3,partial,4690,507.6
2025-W09,413,351189.0,76203139.4633359,449,184,5,minimal,2006,485.7
2025-W10,443,737751.0,111860327.25043076,478,221,4,partial,3979,898.2
2025-W11,467,725442.0,110827476.8,490,249,4,partial,3932,842.0
2025-W12,599,922469.0,139567354.70919994,499,275,4,partial,4763,795.2
2025-W13,619,945750.0,149416610.77,515,300,4,partial,5410,874.0
2025-W14,497,1324803.0,216098452.46412307,556,297,4,partial,4562,917.9
2025-W15,717,609253.0,112533245.04218176,503,398,4,partial,4537,632.8
2025-W16,592,739606.0,103160395.18751317,494,359,4,partial,4565,771.1
2025-W17,531,1094886.0,139195405.92573422,505,342,4,partial,4722,889.3
2025-W18,503,855982.0,144488824.08,554,312,4,partial,5227,1039.2
2025-W19,421,673894.0,129694102.12045869,530,274,4,partial,4645,1103.3
2025-W20,602,816740.0,153816324.13172022,590,314,4,complete,7055,1171.9
2025-W21,664,864187.0,167871865.15,583,353,4,complete,8268,1245.2
2025-W22,762,527006.0,107816257.78144328,566,361,4,partial,5371,704.9
2025-W23,585,490590.0,102755807.44609231,508,242,5,partial,3368,575.7
2025-W24,1152,1051137.0,192722356.24832162,592,432,5,complete,7597,659.5
2025-W25,975,849275.0,169972946.52841946,583,392,5,complete,6292,645.3
2025-W26,974,1264192.0,205159967.93846154,617,392,5,complete,13431,1379.0
2025-W27,675,897304.0,159219278.02098462,687,293,5,complete,8655,1282.2
2025-W28,958,953735.0,190635817.79,572,343,4,complete,12905,1347.1
2025-W29,676,653268.0,127016202.68,576,264,4,complete,8580,1269.2
2025-W30,904,909002.0,171938766.97446704,656,273,4,complete,11905,1316.9
2025-W31,1133,1028535.0,197192983.81839433,680,373,5,complete,15258,1346.7
2025-W32,982,818022.0,176042779.04402786,701,481,5,complete,9341,951.2
2025-W33,1244,1495678.0,253996593.98881114,735,414,5,complete,11379,914.7
2025-W34,1049,907047.0,157378043.90852308,681,385,5,complete,8523,812.5
2025-W35,1121,1014297.0,179489701.05916068,698,410,5,complete,9164,817.5
2025-W36,1179,1066184.0,202712069.83846134,655,383,5,complete,15781,1338.5
2025-W37,1069,995454.0,200874196.07029647,656,353,5,complete,6083,569.0
2025-W38,912,813571.0,163909355.35532308,608,347,5,partial,5443,596.8
2025-W39,808,799674.0,162237807.31083906,648,322,5,partial,5141,636.3
2025-W40,1274,1058685.0,198966893.50926155,770,380,5,complete,7167,562.6
2025-W41,1338,832825.0,167907297.1760725,740,444,5,complete,7648,571.6
2025-W42,921,581046.0,112585977.6456,740,411,5,partial,5419,588.4
2025-W43,1261,981292.0,202174706.7275173,749,452,5,complete,7021,556.8
2025-W44,1127,1962964.0,343038793.1840138,905,360,5,complete,7546,669.6
2025-W45,1290,1987067.0,203561033.72671324,927,513,5,complete,9968,772.7
2025-W46,1165,1986929.0,190018166.98013985,850,368,5,complete,9245,793.6
2025-W47,1855,8831633.0,328794293.11,849,383,5,complete,24700,1331.5
2025-W48,895,3591661.0,171320789.71,831,320,5,complete,11343,1267.4
2025-W49,1315,1326219.0,235404468.12895098,908,375,5,complete,20433,1553.8
2025-W50,1456,1403489.0,301603762.2,843,568,5,complete,19283,1324.4
2025-W51,2040,1546419.0,329291241.2166517,886,572,5,complete,22337,1095.0
2025-W52,175,137119.0,26100091.78,344,94,4,minimal,1151,657.7
